Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1/01/2017 10:00,961.68,963.54,960.74,962.93,77.19857878,74300.08902,962.8058379
1/01/2017 11:00,962.93,964.18,962.01,963.58,174.8056494,168584.3686,963.265489
1/01/2017 12:00,963.59,966.3,963.59,966.3,171.1138657,165313.3274,964.5229141
1/01/2017 13:00,966.2,966.99,964.6,966.6,104.4888895,100963.8335,966.1559393
1/01/2017 14:00,966.6,966.6,962.54,963.87,78.93955393,143716.7183,964.1775058
1/01/2017 15:00,964.35,965.75,961.99,963.97,94.0293959,90901.73617,964.0967591
1/01/2017 16:00,963.97,964.71,960.53,962.83,77.58666749,74737.6127,963.9034179
1/01/2017 17:00,960.61,963.64,960.6,963.46,46.78922027,45054.6555,962.8709491
1/01/2017 18:00,963.45,964,962.8,964,53.61625839,51649.75408,963.284145
1/01/2017 19:00,963.74,964.99,963.74,964.76,26.46478439,25518.9502,964.2814041
1/01/2017 20:00,964.76,964.98,964.76,964.96,7.40925333,7149.417621,964.9379722
1/01/2017 21:00,964.96,964.99,964.96,964.98,32.56180442,31420.93133,964.9696831
1/01/2017 22:00,964.98,965.62,964.98,965.6,49.1976393,47475.54055,965.0818237
1/01/2017 23:00,965.6,974.77,965.01,973.98,344.6770649,334453.2344,969.3965669
2/01/2017 0:00,973.98,975,970.72,974.92,362.6981146,353559.3361,974.5703091
2/01/2017 1:00,975,975.8,972.5,972.5,210.9526597,207637.1535,974.4530146
2/01/2017 2:00,972.51,974.09,972.5,974.09,41.45651279,40349.97224,973.3340306
2/01/2017 3:00,974.1,976,973.2,975.85,169.3952928,165207.23,974.6193249
2/01/2017 4:00,975.85,977.92,974.62,976.71,246.2531248,240390.4333,976.2253611
2/01/2017 5:00,976.71,992.99,976.22,992.99,1261.012086,1239956.961,982.1278006
2/01/2017 6:00,992.98,994.12,981.57,990.81,406.6403445,403959.5666,991.8730452
2/01/2017 7:00,991.96,998,990.81,996.22,414.3675649,412594.2641,995.6843231
2/01/2017 8:00,996.53,997.03,992.49,997.03,256.6399907,255466.0711,994.978309
2/01/2017 9:00,996.01,1001.64,996,999.95,1358.815076,1359158.441,998.88804
2/01/2017 10:00,996.29,1003.97,996.29,1002.99,448.3555781,449207.9852,1002.237432
2/01/2017 11:00,1002.99,1004.88,1000,1002.5,311.6515039,312851.9223,1003.516475
2/01/2017 12:00,1002.5,1005,994.39,997.75,382.5338216,381803.9249,998.6573514
2/01/2017 13:00,997.75,999.89,996.89,997.69,129.0523007,128811.8257,997.9718978
2/01/2017 14:00,997.69,998.46,997.68,998.46,74.10026652,79059.64194,998.0166658
2/01/2017 15:00,998.46,1005,998.44,1005,577.4096318,578248.2964,999.8959515
2/01/2017 16:00,1004.99,1005.75,1004.55,1005.75,166.4140713,167295.5326,1005.422676
2/01/2017 17:00,1005.66,1005.73,1003.55,1005.73,147.4445199,149181.9566,1005.081621
2/01/2017 18:00,1005.48,1005.8,1003.2,1003.2,65.84719476,70621.11078,1005.597867
2/01/2017 19:00,1004.99,1005,1002.8,1005,73.188867,73503.37414,1004.620365
2/01/2017 20:00,1005,1005.95,1004.76,1005.59,73.33644645,75247.67469,1005.235318
